"","Signature","t","df","pval","padj"
"1","S1",-1.69077437319015,275.913223344771,0.0920091677244742,0.517491858497025
"2","S2",0.700874860145712,283.00878726684,0.48395695754135,0.625111070157577
"3","S3",-0.071884835823922,313.926590421864,0.942739333398201,0.942739333398201
"4","S4",1.14192180501553,167.934658567149,0.255112099972074,0.517491858497025
"5","S5",0.894066871658498,157.164191964628,0.372653206471842,0.517491858497025
"6","S6",0.982297400808453,172.306322724432,0.327330606533516,0.517491858497025
"7","S7",1.02871580391119,311.467534405629,0.304411437091651,0.517491858497025
"8","S8",1,154,0.318879192865949,0.517491858497025
"9","S9",-1,160,0.318820459438151,0.517491858497025
"10","S10",-0.34071576376385,280.490203731035,0.733572624007635,0.812169690865596
"11","S11",-1.33173114110018,160,0.184842608577117,0.517491858497025
"12","S12",1,154,0.318879192865949,0.517491858497025
"13","S13",0.607157085186838,240.846988707092,0.544318633755764,0.674955105857147
"14","S14",-0.957146325980958,190.490760643835,0.339706571165739,0.517491858497025
"15","S15",-0.978477552587224,247.148017712106,0.328794993044689,0.517491858497025
"16","S16",1.38897690892377,154,0.166845114806368,0.517491858497025
"17","S17",0.135527236990421,313.356363810908,0.892282048705725,0.922024783662583
"18","S18",0.872406660086895,218.193455371612,0.383945572433276,0.517491858497025
"19","S19",1,154,0.318879192865949,0.517491858497025
"20","S20",0.4616030940903,303.81746145934,0.644696299962987,0.768676357648177
"21","S21",0.380052637444487,313.926298713205,0.704163340137237,0.808483834972384
"22","S22",-1.29088687418456,175.089367582053,0.198444770370275,0.517491858497025
"23","S23",1.18660666531052,209.771369913288,0.236724937098642,0.517491858497025
"24","S24",1.12340129607986,235.277236592287,0.262412074617872,0.517491858497025
"25","S25",-1.21748832470176,186.095148678286,0.224960031807308,0.517491858497025
"26","S26",-1.69426859371958,176.98137494798,0.0919732361912858,0.517491858497025
"27","S27",1.86875328496449,162.581314161872,0.0634560993684523,0.517491858497025
"28","S28",0.267701726560163,233.719911923859,0.789165015375339,0.8435901888495
"29","S29",-0.899450639124753,162.971792636053,0.369739747519306,0.517491858497025
"30","S30",-1,160,0.318820459438151,0.517491858497025
"31","unknown",1.01143666849863,283.17041467178,0.31267093088868,0.517491858497025
