,Signature,W,pval,padj,,,,,
1,S1,10855,0.176949707,0.67542868,,,,,
2,S2,11808.5,0.863809218,0.931880403,,,,,
3,S3,11975,0.899972856,0.931880403,,,,,
4,S4,12242.5,0.595180325,0.86304792,,,,,
5,S5,12126,0.640325876,0.86304792,,,,,
6,S6,11580,0.433935997,0.86304792,,,,,
7,S7,12750,0.286877189,0.769588827,,,,,
8,S8,12254,0.196092198,0.67542868,,,,,0.123432416
9,S9,12317,0.331960271,0.79159757,,,,,0.931880403
10,S10,11941,0.912268329,0.931880403,,,,,
11,S11,12094,0.795839893,0.931880403,,,,,
12,S12,12562.5,0.091744456,0.624355232,,,,,
13,S13,11874,0.884910987,0.931880403,,,,,
14,S14,11703,0.297905352,0.769588827,,,,,
15,S15,11745.5,0.623565663,0.86304792,,,,,
16,S16,12010,0.636745837,0.86304792,,,,,
17,S17,11887,0.931880403,0.931880403,,,,,
18,S18,12244.5,0.465982105,0.86304792,,,,,
19,S19,12915,0.100702457,0.624355232,,,,,
20,S20,12456,0.269343745,0.769588827,,,,,
21,S21,10973,0.146509142,0.67542868,,,,,
22,S22,11046,0.003981691,0.123432416,,,,,
23,S23,11839.5,0.91995656,0.931880403,,,,,
24,S24,11283.5,0.053784097,0.555769006,,,,,
25,S25,12024,0.840842082,0.931880403,,,,,
26,S26,11787,0.630023936,0.86304792,,,,,
27,S27,12316.5,0.019053414,0.295327913,,,,,
28,S28,11783,0.545420137,0.86304792,,,,,
29,S29,12347.5,0.162504269,0.67542868,,,,,
30,S30,11550,0.393736069,0.86304792,,,,,
31,unknown,11660.5,0.610582215,0.86304792,,,,,
