"","Signature","OR","pval","padj"
"1","S1",1.22738436108186,0.672460005919901,1
"2","S2",0,1,1
"3","S3",0.49438659450706,0.690916718489589,1
"4","S4",Inf,0.222698072805139,0.556745182012848
"5","S6",14.3730178564614,0.00972089307503281,0.145813396125492
"6","S7",0.649831154061642,0.150458032153964,0.556745182012848
"7","S11",Inf,0.222698072805139,0.556745182012848
"8","S15",0,1,1
"9","S17",Inf,0.222698072805139,0.556745182012848
"10","S18",0,0.579716831817319,1
"11","S19",0,1,1
"12","S20",0,1,1
"13","S21",0,1,1
"14","S26",3.50227967326103,0.396173181020301,0.848942530757788
"15","S30",Inf,0.222698072805139,0.556745182012848
